date,candidate_area_m2,confirmed_area_m2
2017-01-14,0.0,0.0
2017-02-23,300.0,0.0
2017-04-04,2600.0,300.0
2017-10-16,300.0,300.0
2017-11-25,300.0,300.0
2017-11-30,300.0,300.0
2017-12-05,300.0,300.0
2017-12-15,300.0,300.0
2017-12-25,300.0,300.0
2018-01-14,300.0,300.0
2018-01-24,600.0,300.0
2018-01-29,600.0,300.0
2018-02-03,600.0,300.0
2018-02-08,600.0,300.0
2018-02-23,600.0,300.0
2018-03-10,600.0,300.0
2018-03-30,2100.0,600.0
2018-04-19,2600.0,600.0
2018-10-01,600.0,600.0
2018-10-16,600.0,600.0
2018-10-26,600.0,600.0
2018-11-20,600.0,600.0
2018-11-25,600.0,600.0
2018-12-15,600.0,600.0
2018-12-20,600.0,600.0
2018-12-25,600.0,600.0
2018-12-30,600.0,600.0
2019-01-04,600.0,600.0
2019-01-09,600.0,600.0
2019-01-14,600.0,600.0
2019-01-19,600.0,600.0
2019-01-24,600.0,600.0
2019-01-29,600.0,600.0
2019-02-03,600.0,600.0
2019-02-08,600.0,600.0
2019-02-13,600.0,600.0
2019-02-18,600.0,600.0
2019-02-23,600.0,600.0
2019-02-28,600.0,600.0
2019-03-05,600.0,600.0
2019-03-10,600.0,600.0
2019-03-15,1600.0,600.0
2019-03-20,600.0,600.0
2019-03-25,600.0,600.0
2019-03-30,600.0,600.0
2019-04-04,600.0,600.0
2019-04-09,600.0,600.0
2019-04-14,2100.0,600.0
2019-04-19,2300.0,600.0
2019-04-24,2300.0,600.0
2019-04-29,2800.0,600.0
2019-05-04,600.0,600.0
2019-05-09,3000.0,600.0
2019-05-14,2800.0,600.0
2019-05-19,3400.0,600.0
2019-05-24,3000.0,600.0
2019-05-29,3800.0,600.0
2019-06-03,3000.0,600.0
2019-06-08,4200.0,600.0
2019-06-13,4200.0,600.0
2019-06-18,3500.0,600.0
2019-06-23,600.0,600.0
2019-06-28,4400.0,600.0
2019-07-03,600.0,600.0
2019-07-08,600.0,600.0
2019-07-13,600.0,600.0
2019-07-18,600.0,600.0
2019-07-23,600.0,600.0
2019-07-28,600.0,600.0
2019-08-02,1700.0,600.0
2019-08-07,2600.0,700.0
2019-08-12,700.0,700.0
2019-08-17,1500.0,700.0
2019-08-22,700.0,700.0
2019-08-27,700.0,700.0
2019-09-01,700.0,700.0
2019-09-06,700.0,700.0
2019-09-11,700.0,700.0
2019-09-16,700.0,700.0
2019-09-21,700.0,700.0
2019-09-26,700.0,700.0
2019-10-01,700.0,700.0
2019-10-06,700.0,700.0
2019-10-11,700.0,700.0
2019-10-16,700.0,700.0
2019-10-21,700.0,700.0
2019-10-26,700.0,700.0
2019-10-31,700.0,700.0
2019-11-05,700.0,700.0
2019-11-10,700.0,700.0
2019-11-15,700.0,700.0
2019-11-20,700.0,700.0
2019-11-25,700.0,700.0
2019-11-30,700.0,700.0
2019-12-05,700.0,700.0
2019-12-10,700.0,700.0
2019-12-15,700.0,700.0
2019-12-20,700.0,700.0
2019-12-25,700.0,700.0
2019-12-30,700.0,700.0
2020-01-04,700.0,700.0
2020-01-09,700.0,700.0
2020-01-14,700.0,700.0
2020-01-19,700.0,700.0
2020-01-24,700.0,700.0
2020-01-29,700.0,700.0
2020-02-03,700.0,700.0
2020-02-08,700.0,700.0
2020-02-13,700.0,700.0
2020-02-18,700.0,700.0
2020-02-23,700.0,700.0
2020-02-28,700.0,700.0
2020-03-04,700.0,700.0
2020-03-09,700.0,700.0
2020-03-14,700.0,700.0
2020-03-19,700.0,700.0
2020-03-24,700.0,700.0
2020-03-29,700.0,700.0
2020-04-03,700.0,700.0
2020-04-08,700.0,700.0
2020-04-13,700.0,700.0
2020-04-18,700.0,700.0
2020-04-23,700.0,700.0
2020-04-28,1400.0,700.0
2020-05-03,2500.0,700.0
2020-05-08,2600.0,700.0
2020-05-13,3000.0,700.0
2020-05-18,2200.0,700.0
2020-05-23,2600.0,700.0
2020-05-28,1900.0,700.0
2020-06-02,2500.0,700.0
2020-06-07,700.0,700.0
2020-06-12,2200.0,700.0
2020-06-17,700.0,700.0
2020-06-22,700.0,700.0
2020-06-27,700.0,700.0
2020-07-02,700.0,700.0
2020-07-07,700.0,700.0
2020-07-12,700.0,700.0
2020-07-17,700.0,700.0
2020-07-22,700.0,700.0
2020-07-27,700.0,700.0
2020-08-01,700.0,700.0
2020-08-06,700.0,700.0
2020-08-11,700.0,700.0
2020-08-16,700.0,700.0
2020-08-21,700.0,700.0
2020-08-26,700.0,700.0
2020-08-31,700.0,700.0
2020-09-05,700.0,700.0
2020-09-10,700.0,700.0
2020-09-15,700.0,700.0
2020-09-20,700.0,700.0
2020-09-25,700.0,700.0
2020-09-30,700.0,700.0
2020-10-05,700.0,700.0
2020-10-10,700.0,700.0
2020-10-15,700.0,700.0
2020-10-20,700.0,700.0
2020-10-25,700.0,700.0
2020-10-30,700.0,700.0
2020-11-04,700.0,700.0
2020-11-09,700.0,700.0
2020-11-14,700.0,700.0
2020-11-19,700.0,700.0
2020-11-24,700.0,700.0
2020-11-29,700.0,700.0
2020-12-04,700.0,700.0
2020-12-09,700.0,700.0
2020-12-14,700.0,700.0
2020-12-19,700.0,700.0
2020-12-24,700.0,700.0
2020-12-29,700.0,700.0
2021-01-03,700.0,700.0
2021-01-08,700.0,700.0
2021-01-13,700.0,700.0
2021-01-18,700.0,700.0
2021-01-23,700.0,700.0
2021-01-28,700.0,700.0
2021-02-02,700.0,700.0
2021-02-07,700.0,700.0
2021-02-12,700.0,700.0
2021-02-17,700.0,700.0
2021-02-22,700.0,700.0
2021-02-27,700.0,700.0
2021-03-04,700.0,700.0
2021-03-09,700.0,700.0
2021-03-14,700.0,700.0
2021-03-19,700.0,700.0
2021-03-24,700.0,700.0
2021-03-29,700.0,700.0
2021-04-03,1400.0,700.0
2021-04-08,2300.0,700.0
2021-04-13,1100.0,700.0
2021-04-18,2700.0,700.0
2021-04-23,700.0,700.0
2021-04-28,700.0,700.0
2021-05-03,2800.0,700.0
2021-05-08,700.0,700.0
2021-05-13,2800.0,700.0
2021-05-18,700.0,700.0
2021-05-23,2300.0,700.0
2021-05-28,700.0,700.0
2021-06-02,700.0,700.0
2021-06-07,700.0,700.0
2021-06-12,700.0,700.0
2021-06-17,700.0,700.0
2021-06-22,700.0,700.0
2021-06-27,2100.0,700.0
2021-07-02,700.0,700.0
2021-07-07,700.0,700.0
2021-07-12,700.0,700.0
2021-07-17,700.0,700.0
2021-07-22,700.0,700.0
2021-07-27,700.0,700.0
2021-08-01,700.0,700.0
2021-08-06,700.0,700.0
2021-08-11,700.0,700.0
2021-08-16,1000.0,700.0
2021-08-21,700.0,700.0
2021-08-26,700.0,700.0
2021-08-31,700.0,700.0
2021-09-05,700.0,700.0
2021-09-10,700.0,700.0
2021-09-15,700.0,700.0
2021-09-20,700.0,700.0
2021-09-25,700.0,700.0
2021-09-30,1300.0,700.0
2021-10-05,700.0,700.0
2021-10-10,700.0,700.0
2021-10-15,700.0,700.0
2021-10-20,700.0,700.0
2021-10-25,700.0,700.0
2021-10-30,700.0,700.0
2021-11-04,700.0,700.0
2021-11-14,700.0,700.0
2021-11-19,1400.0,700.0
2021-11-24,700.0,700.0
2021-11-29,700.0,700.0
2021-12-04,700.0,700.0
2021-12-09,700.0,700.0
2021-12-19,700.0,700.0
2021-12-24,700.0,700.0
2021-12-29,700.0,700.0
2022-01-03,700.0,700.0
2022-01-08,700.0,700.0
2022-01-13,700.0,700.0
2022-01-18,700.0,700.0
2022-01-23,700.0,700.0
2022-01-28,700.0,700.0
2022-02-02,700.0,700.0
2022-02-07,700.0,700.0
2022-02-12,700.0,700.0
2022-02-17,700.0,700.0
2022-02-22,700.0,700.0
2022-02-27,700.0,700.0
2022-03-04,700.0,700.0
2022-03-09,700.0,700.0
2022-03-14,700.0,700.0
2022-03-19,700.0,700.0
2022-03-24,700.0,700.0
2022-03-29,700.0,700.0
2022-04-03,1000.0,700.0
2022-04-08,1000.0,700.0
2022-04-13,1900.0,700.0
2022-04-18,1700.0,700.0
2022-04-23,2600.0,700.0
2022-04-28,3000.0,700.0
2022-05-03,3000.0,700.0
2022-05-08,3000.0,700.0
2022-05-13,3000.0,700.0
2022-05-18,700.0,700.0
2022-05-23,3300.0,700.0
2022-05-28,3100.0,700.0
2022-06-02,700.0,700.0
2022-06-07,3000.0,1000.0
2022-06-12,3300.0,1000.0
2022-06-17,1000.0,1000.0
2022-06-22,1000.0,1000.0
2022-06-27,2500.0,1700.0
2022-07-02,1700.0,1700.0
2022-07-07,2100.0,1700.0
2022-07-12,1700.0,1700.0
2022-07-17,1800.0,1800.0
2022-07-22,1800.0,1800.0
2022-07-27,1800.0,1800.0
2022-08-01,1800.0,1800.0
2022-08-06,1800.0,1800.0
2022-08-11,1800.0,1800.0
2022-08-16,1800.0,1800.0
2022-08-21,1800.0,1800.0
2022-08-26,1800.0,1800.0
2022-08-31,1800.0,1800.0
2022-09-05,1800.0,1800.0
2022-09-10,2800.0,1800.0
2022-09-15,1800.0,1800.0
2022-09-20,1800.0,1800.0
2022-09-25,1800.0,1800.0
2022-09-30,1800.0,1800.0
2022-10-05,1800.0,1800.0
2022-10-10,1800.0,1800.0
2022-10-15,1800.0,1800.0
2022-10-20,1800.0,1800.0
2022-10-25,1800.0,1800.0
2022-10-30,1800.0,1800.0
2022-11-04,1800.0,1800.0
2022-11-09,1800.0,1800.0
2022-11-14,1800.0,1800.0
2022-11-19,1800.0,1800.0
2022-11-24,1800.0,1800.0
2022-11-29,1800.0,1800.0
2022-12-04,1800.0,1800.0
2022-12-09,1800.0,1800.0
2022-12-14,1800.0,1800.0
2022-12-19,1800.0,1800.0
2022-12-24,1800.0,1800.0
2022-12-29,1800.0,1800.0
2023-01-03,1800.0,1800.0
2023-01-08,1800.0,1800.0
2023-01-13,1800.0,1800.0
2023-01-18,1800.0,1800.0
2023-01-23,1800.0,1800.0
2023-01-28,1800.0,1800.0
2023-02-02,1800.0,1800.0
2023-02-07,1800.0,1800.0
2023-02-12,1800.0,1800.0
2023-02-17,1800.0,1800.0
